sensor type	# sensors	# devices	min	max	avg
TYPE_ACCELEROMETER	1	5	0.92	0.992	0.9711199999999997
TYPE_GRAVITY	1	5	0.504	0.736	0.6176
TYPE_GYROSCOPE	2	5	0.5527272727272727	0.7745454545454545	0.7132727272727274
TYPE_LINEAR_ACCELERATION	1	5	0.328	0.864	0.50856
TYPE_MAGNETIC_FIELD	2	5	0.7454545454545455	0.9636363636363636	0.8729454545454545
TYPE_ORIENTATION	1	5	0.344	0.6	0.46832
TYPE_PRESSURE	1	5	0.624	0.848	0.7361600000000004
TYPE_ROTATION_VECTOR	3	5	0.23294117647058823	0.4752941176470588	0.37167058823529414
