TYPE_ACCELEROMETER	TYPE_GRAVITY	TYPE_GYROSCOPE	TYPE_LINEAR_ACCELERATION	TYPE_MAGNETIC_FIELD	TYPE_PRESSURE	TYPE_ROTATION_VECTOR	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	1	0	0	
0	0	0	0	3	0	0	
0	0	0	0	3	0	0	
0	0	0	0	6	0	0	
0	0	0	0	8	0	0	
0	0	0	0	13	0	0	
0	0	0	0	16	0	0	
0	0	0	0	25	0	0	
0	0	0	0	29	0	0	
0	0	0	0	34	0	0	
0	0	0	0	35	0	0	
0	0	0	0	37	0	0	
0	0	0	0	38	14	0	
0	0	0	0	42	30	0	
0	0	0	0	50	33	0	
0	0	0	0	61	37	0	
0	0	0	0	62	41	0	
0	0	0	0	63	46	1	
0	0	0	0	66	55	5	
0	0	0	0	66	76	6	
0	0	0	0	73	81	6	
0	0	0	0	88	84	6	
0	0	0	0	92	85	6	
0	0	0	0	92	88	6	
0	0	0	0	92	95	7	
0	0	0	0	93	98	7	
0	0	0	0	93	100	9	
0	0	0	0	96	100	10	
0	0	0	0	98	100	13	
0	0	0	0	98	100	13	
0	0	0	0	98	100	16	
0	0	0	0	98	100	22	
0	0	0	0	98	100	31	
0	0	0	0	99	100	48	
0	0	20	0	100	100	75	
97	94	100	100	100	100	100	
100	100	100	100	100	100	100	
