displayname	timestamp	x	y	z
Nexus5x02	7838689752000	-43.625	-50.3125	-54.625
Nexus5x02	7838725703000	-43.625	-49.9375	-53.5
Nexus5x02	7838728248000	-43.625	-49.5625	-53.5
Nexus5x02	7838746232000	-42.9375	-49.5625	-53.125
Nexus5x02	7838766838000	-42.9375	-49.9375	-53.9375
Nexus5x02	7838787318000	-42.9375	-49.5625	-53.125
Nexus5x02	7838807975000	-43.625	-49.5625	-53.1875
Nexus5x02	7838828455000	-42.9375	-49.9375	-52.8125
Nexus5x02	7838848969000	-42.9375	-50.3125	-53.5625
Nexus5x02	7838869449000	-42.5625	-49.9375	-53.9375
Nexus5x02	7838889978000	-42.5625	-49.5625	-53.1875
Nexus5x02	7838910458000	-43.3125	-49.9375	-53.5625
Nexus5x02	7838930988000	-43.3125	-49.5625	-53.1875
Nexus5x02	7838951468000	-42.9375	-50.3125	-53.1875
Nexus5x02	7838972035000	-44.0	-49.1875	-53.625
Nexus5x02	7838992515000	-42.9375	-49.5625	-53.625
Nexus5x02	7839012983000	-43.6875	-49.9375	-53.25
Nexus5x02	7839033463000	-42.5625	-49.9375	-53.25
Nexus5x02	7839054062000	-43.3125	-49.9375	-53.625
Nexus5x02	7839074542000	-40.3125	-48.875	-53.25
Nexus5x02	7839095157000	-41.4375	-48.875	-54.0
Nexus5x02	7839115637000	-40.6875	-48.875	-54.375
Nexus5x02	7839136200000	-42.9375	-49.5625	-52.875
Nexus5x02	7839156680000	-42.9375	-49.9375	-54.375
Nexus5x02	7839177235000	-43.3125	-50.3125	-54.375
Nexus5x02	7839197715000	-43.3125	-49.9375	-53.625
Nexus5x02	7839218350000	-43.3125	-49.9375	-53.625
Nexus5x02	7839238830000	-43.3125	-50.3125	-52.875
Nexus5x02	7839259371000	-42.9375	-49.9375	-53.625
Nexus5x02	7839279851000	-42.1875	-49.9375	-54.0
Nexus5x02	7839300425000	-42.9375	-50.6875	-53.625
Nexus5x02	7839320905000	-42.9375	-49.9375	-54.0
Nexus5x02	7839341437000	-42.9375	-49.9375	-53.625
Nexus5x02	7839361917000	-42.9375	-50.3125	-53.25
Nexus5x02	7839382607000	-43.3125	-49.5625	-54.375
Nexus5x02	7839403087000	-42.9375	-49.5625	-54.4375
Nexus5x02	7839423683000	-43.6875	-49.9375	-54.0
Nexus5x02	7839444163000	-42.5625	-49.5625	-54.0625
Nexus5x02	7839464755000	-42.5625	-49.9375	-53.625
Nexus5x02	7839485235000	-42.9375	-49.1875	-54.0
Nexus5x02	7839505761000	-43.3125	-49.5625	-53.25
Nexus5x02	7839526241000	-43.6875	-50.3125	-54.0
Nexus5x02	7839546808000	-42.9375	-49.9375	-54.8125
Nexus5x02	7839567288000	-43.3125	-49.5625	-53.25
Nexus5x02	7839587922000	-43.3125	-50.6875	-53.25
Nexus5x02	7839608402000	-42.9375	-49.9375	-54.0625
Nexus5x02	7839628940000	-42.9375	-49.9375	-52.875
Nexus5x02	7839649420000	-42.9375	-49.9375	-53.25
Nexus5x02	7839669816000	-43.3125	-49.9375	-54.0
Nexus5x02	7839690296000	-42.1875	-49.1875	-52.5
Nexus5x02	7839710833000	-42.1875	-49.9375	-54.4375
Nexus5x02	7839731313000	-42.5625	-50.3125	-54.0
Nexus5x02	7839751865000	-41.8125	-49.5625	-53.25
Nexus5x02	7839772345000	-42.9375	-49.9375	-54.4375
Nexus5x02	7839792866000	-43.3125	-49.9375	-52.875
Nexus5x02	7839813346000	-42.1875	-49.9375	-53.6875
Nexus5x02	7839833955000	-42.1875	-49.5625	-54.4375
Nexus5x02	7839854435000	-42.5625	-49.9375	-54.4375
Nexus5x02	7839875060000	-43.3125	-50.3125	-53.25
Nexus5x02	7839895540000	-42.1875	-49.9375	-54.0
Nexus5x02	7839916142000	-43.6875	-49.9375	-53.625
Nexus5x02	7839936622000	-43.6875	-49.9375	-53.625
Nexus5x02	7839957159000	-42.5625	-49.25	-54.0625
Nexus5x02	7839977639000	-43.3125	-49.5625	-54.0625
Nexus5x02	7839998214000	-42.9375	-49.5625	-52.875
Nexus5x02	7840018694000	-43.6875	-49.25	-53.25
Nexus5x02	7840039182000	-41.8125	-49.9375	-54.4375
Nexus5x02	7840059662000	-42.1875	-49.5625	-53.6875
Nexus5x02	7840080243000	-43.6875	-49.5625	-54.0625
Nexus5x02	7840100723000	-43.6875	-49.9375	-53.25
Nexus5x02	7840121327000	-42.9375	-49.5625	-54.4375
Nexus5x02	7840141807000	-42.9375	-48.875	-54.0625
Nexus5x02	7840162340000	-42.9375	-49.9375	-54.0625
Nexus5x02	7840182820000	-42.9375	-50.3125	-54.0
Nexus5x02	7840203422000	-42.1875	-49.9375	-54.4375
Nexus5x02	7840223902000	-42.9375	-50.3125	-52.875
Nexus5x02	7840244518000	-43.6875	-50.3125	-53.6875
Nexus5x02	7840264998000	-42.5625	-49.9375	-53.6875
Nexus5x02	7840285553000	-42.9375	-50.3125	-52.875
Nexus5x02	7840306033000	-42.9375	-50.3125	-53.25
Nexus5x02	7840326589000	-42.9375	-50.3125	-52.875
Nexus5x02	7840347069000	-43.3125	-50.6875	-53.6875
Nexus5x02	7840367593000	-42.9375	-49.9375	-53.25
Nexus5x02	7840388073000	-42.5625	-49.25	-52.875
Nexus5x02	7840408525000	-42.1875	-49.5625	-54.0625
Nexus5x02	7840429005000	-44.0625	-49.25	-54.0625
Nexus5x02	7840449586000	-42.9375	-49.9375	-54.0625
Nexus5x02	7840470066000	-43.3125	-49.9375	-54.0625
Nexus5x02	7840490549000	-42.9375	-49.5625	-53.6875
Nexus5x02	7840511029000	-42.9375	-50.6875	-54.0625
Nexus5x02	7840531585000	-42.1875	-50.3125	-53.25
Nexus5x02	7840552065000	-42.5625	-49.25	-54.0625
Nexus5x02	7840572617000	-43.3125	-50.3125	-53.6875
Nexus5x02	7840593097000	-43.3125	-49.9375	-54.0625
Nexus5x02	7840613751000	-42.9375	-50.3125	-54.0625
Nexus5x02	7840634231000	-43.3125	-49.9375	-52.5
Nexus5x02	7840654770000	-42.5625	-49.9375	-52.875
Nexus5x02	7840675250000	-40.3125	-48.5	-53.25
Nexus5x02	7840695399000	-41.0625	-48.875	-52.875
