displayname	timestamp	x	y	z
Nexus5x04	5593341931000	-0.004261057823896408	-0.004261057823896408	-0.02130528911948204
Nexus5x04	5593346987000	0.003195793367922306	0.002130528911948204	-0.00532632227987051
Nexus5x04	5593352075000	0.009587380103766918	-0.00532632227987051	-0.003195793367922306
Nexus5x04	5593354647000	0.002130528911948204	-0.001065264455974102	0.008522115647792816
Nexus5x04	5593357111000	-0.001065264455974102	-0.002130528911948204	0.012783173471689224
Nexus5x04	5593359607000	0.003195793367922306	-0.003195793367922306	0.011717909015715122
Nexus5x04	5593362103000	-0.003195793367922306	-0.002130528911948204	0.02130528911948204
Nexus5x04	5593364654000	-0.001065264455974102	-0.007456851191818714	0.012783173471689224
Nexus5x04	5593367118000	0.003195793367922306	0.006391586735844612	0.015978965908288956
Nexus5x04	5593369614000	0.003195793367922306	-0.004261057823896408	0.019174760207533836
Nexus5x04	5593372151000	-0.002130528911948204	-0.00532632227987051	-0.012783173471689224
Nexus5x04	5593374615000	-0.01065264455974102	-0.001065264455974102	0.00532632227987051
Nexus5x04	5593377111000	0.002130528911948204	-0.002130528911948204	-0.003195793367922306
Nexus5x04	5593379607000	-0.002130528911948204	-0.003195793367922306	-0.006391586735844612
Nexus5x04	5593382273000	0.004261057823896408	0.002130528911948204	-0.007456851191818714
Nexus5x04	5593384737000	-0.004261057823896408	0.006391586735844612	-0.014913702383637428
Nexus5x04	5593393025000	0.0	-0.002130528911948204	-0.013848437927663326
Nexus5x04	5593395575000	-0.002130528911948204	0.003195793367922306	-0.015978965908288956
Nexus5x04	5593398135000	-0.012783173471689224	0.0	-0.004261057823896408
Nexus5x04	5593403223000	0.004261057823896408	-0.001065264455974102	-0.006391586735844612
Nexus5x04	5593408343000	0.011717909015715122	0.001065264455974102	0.0
Nexus5x04	5593412832000	0.003195793367922306	0.0	0.008522115647792816
Nexus5x04	5593417856000	0.001065264455974102	0.002130528911948204	-0.002130528911948204
Nexus5x04	5593422912000	-0.00532632227987051	-0.001065264455974102	-0.001065264455974102
Nexus5x04	5593428000000	0.003195793367922306	-0.001065264455974102	0.004261057823896408
Nexus5x04	5593433007000	0.009587380103766918	-0.004261057823896408	-0.003195793367922306
Nexus5x04	5593438031000	0.004261057823896408	-0.003195793367922306	0.01065264455974102
Nexus5x04	5593443087000	0.007456851191818714	0.0	0.006391586735844612
